Label,Count
Softball,165772
Baseball,165772
Rat,164935
Scoreboard,164540
Rink,164112
Karaoke,163965
Scarf,163808
Sailboat,163260
Cattle,162992
Apidae,162208
Steamer,161991
Abyssinian,161402
Bakery,161204
Manx,160570
Convertible,160542
Dinner,160346
Supper,160346
Bulldozer,159969
Newspaper,159764
Executive,159633
Moped,158558
Ikebana,157723
Strap,157377
Yacht,157343
Cabinet,157101
Dahlia,156550
Bride,156404
Nickel,155737
Emblem,154450
Business Card,153353
Slum,153127
Flood,152468
Savanna,150918
Newfoundland,150453
Skylight,149822
Mobile Phone,149535
Cell Phone,149535
Cobblestone,149456
Reception,148004
Computer Keyboard,147205
Hangar,146757
Studio,146582
Battleship,146265
Dungeon,145629
Fountain,144650
Coil,143862
Jaw,143665
Armor,142942
Electric Guitar,142227
Bishop,141240
Jaguar,140897
Panther,140897
Leopard,140897
Library,140715
Knitting,140320
Dimples,138886
Wine,138727
Cutlery,136712
Shipping Container,136217
Arrowhead,136035
Vault Ceiling,135806
Balloon,134812
Robot,134780
Seafood,134243
Peninsula,133936
Blade,133667
Hot Tub,133568
Jacuzzi,133568
Reading,132817
Moat,132258
Aluminium,132066
Barn,131121
Birch,131057
Inn,130737
Tablecloth,130376
Puddle,130246
Lifejacket,129909
Double Decker Bus,129822
Guard,129729
Birthday Cake,129714
Lunch,129656
Oars,129296
Mardi Gras,128984
Fern,128977
Goggles,128381
Landing,127556
Picnic,127259
Aisle,127015
Mesa,126313
Pump,125116
Newborn,125016
Jay,124998
Coffee Cup,124990
Cow,124966
Kiosk,124907
Traffic Light,124874
Sun Hat,124603
Aquatic,124559
Boot,124423
Racket,124277
Bumblebee,124121
Pork,124061
Canyon,123923
Park Bench,123715
Airport Terminal,123601
Bathing Cap,123396
Haircut,123091
Wedding Cake,122528
Piano,122103
Equestrian,121955
Pig,121877
Mist,121809
Snowman,121066
Spruce,120964
Christmas Tree,120899
Cricket Insect,120220
Summer,119922
Dime,119636
Crucifix,119530
Zebra Crossing,119293
Car Dealership,119273
Tennis Racket,119217
Quilt,119170
Ballplayer,118834
Caravan,118793
Gold,118785
Waiting Room,118708
Bookcase,118203
Cable Car,118059
Diving,117809
Diver,117809
Blackbird,117741
Agelaius,117741
Handball,117692
Undershirt,117444
Grocery Store,117197
Dining Room,117019
Driving License,116095
License,116095
Running Track,115844
Frost,115588
Outdoor Play Area,114992
Liquor,114846
Iris,114601
Graduation,114321
Sailor Suit,114231
Planetarium,114184
Puppy,114066
Lizard,113969
Demolition,113846
Apiaceae,113738
Mosque,113626
Suv,112927
Parliament,112429
Novel,111570
Overpass,111210
Pollution,110922
Triangle,110875
Student,110804
Piste,110768
Red Carpet Premiere,109942
Red Carpet,109942
Camping,109654
Takeoff,109583
Office,109583
Lab,109385
Bear,109095
Annonaceae,108614
Postcard,108564
Windshield,108452
Hound,108346
Basketball,108329
Vine,107909
Beacon,107473
Badge,107371
Dinghy,107367
American Football,106882
